RegionID,SizeRank,RegionName,RegionType,StateName,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30
395167,53,"Tucson, AZ",Msa,AZ,5121.0,5078.0,4956.0,5023.0,5020.0,5097.0,5226.0,5197.0,5137.0,4955.0,4805.0,4633.0,4585.0,4655.0,4634.0,4805.0,4907.0,5022.0,5246.0,5252.0,5228.0,5083.0,4867.0,4705.0,4624.0,4559.0,4453.0,4470.0,4426.0,4453.0,4476.0,4400.0,4246.0
753924,54,"Urban Honolulu, HI",Msa,HI,3917.0,3866.0,3740.0,3705.0,3654.0,3755.0,3967.0,4162.0,4341.0,4432.0,4469.0,4452.0,4428.0,4367.0,4274.0,4282.0,4315.0,4400.0,4584.0,4744.0,4878.0,5007.0,5091.0,5108.0,5110.0,4998.0,4816.0,4644.0,4505.0,4478.0,4433.0,4431.0,4439.0
395169,55,"Tulsa, OK",Msa,OK,6353.0,6218.0,6005.0,5938.0,5776.0,5738.0,5889.0,6025.0,6228.0,6419.0,6546.0,6564.0,6488.0,6236.0,5846.0,5584.0,5319.0,5207.0,5313.0,5339.0,5436.0,5542.0,5520.0,5468.0,5374.0,5125.0,4832.0,4656.0,4466.0,4474.0,4506.0,4516.0,4523.0
394619,56,"Fresno, CA",Msa,CA,2294.0,2186.0,2051.0,2017.0,1937.0,1955.0,2095.0,2234.0,2362.0,2482.0,2574.0,2609.0,2665.0,2625.0,2498.0,2425.0,2321.0,2321.0,2420.0,2519.0,2639.0,2715.0,2767.0,2772.0,2752.0,2674.0,2504.0,2361.0,2216.0,2145.0,2123.0,2100.0,2042.0
395238,57,"Worcester, MA",Msa,MA,3905.0,3658.0,3379.0,3181.0,2846.0,2726.0,2876.0,3187.0,3562.0,3830.0,4006.0,4094.0,4145.0,4071.0,3790.0,3451.0,3059.0,2880.0,2978.0,3248.0,3591.0,3817.0,3928.0,3941.0,3880.0,3734.0,3431.0,3074.0,2743.0,2607.0,2573.0,2659.0,2773.0
394415,58,"Stamford, CT",Msa,CT,7031.0,6717.0,6315.0,6058.0,5600.0,5489.0,6108.0,6691.0,7321.0,7692.0,7458.0,7339.0,7166.0,6883.0,6456.0,5986.0,5630.0,5659.0,6085.0,6717.0,7267.0,7550.0,7555.0,7403.0,7211.0,6864.0,6396.0,5861.0,5473.0,5395.0,5379.0,5596.0,5827.0
394312,59,"Albuquerque, NM",Msa,NM,4507.0,4336.0,4108.0,3994.0,3770.0,3700.0,3837.0,4023.0,4260.0,4447.0,4568.0,4581.0,4533.0,4377.0,4084.0,3820.0,3555.0,3442.0,3521.0,3644.0,3870.0,4041.0,4118.0,4146.0,4104.0,3947.0,3690.0,3462.0,3195.0,3092.0,3073.0,3107.0,3127.0
394308,60,"Albany, NY",Msa,NY,3306.0,3165.0,2970.0,2841.0,2613.0,2512.0,2562.0,2724.0,2925.0,3104.0,3219.0,3259.0,3275.0,3186.0,3029.0,2855.0,2644.0,2545.0,2578.0,2695.0,2876.0,3019.0,3122.0,3165.0,3153.0,3047.0,2843.0,2608.0,2380.0,2245.0,2137.0,2119.0,2175.0
394938,61,"Omaha, NE",Msa,NE,3682.0,3486.0,3278.0,3199.0,3006.0,3019.0,3216.0,3435.0,3738.0,3972.0,4118.0,4221.0,4250.0,4152.0,3900.0,3632.0,3321.0,3146.0,3241.0,3431.0,3705.0,3923.0,4063.0,4132.0,4151.0,4058.0,3799.0,3530.0,3281.0,3280.0,3374.0,3543.0,3640.0
394908,62,"New Haven, CT",Msa,CT,5035.0,4830.0,4554.0,4329.0,3919.0,3715.0,3855.0,4094.0,4401.0,4598.0,4610.0,4582.0,4529.0,4375.0,4089.0,3802.0,3536.0,3482.0,3645.0,3924.0,4211.0,4376.0,4427.0,4355.0,4243.0,4018.0,3687.0,3384.0,3127.0,3046.0,3002.0,3035.0,3084.0
394357,63,"Bakersfield, CA",Msa,CA,2434.0,2365.0,2260.0,2251.0,2245.0,2317.0,2500.0,2657.0,2806.0,2927.0,3025.0,3079.0,3077.0,2999.0,2819.0,2702.0,2588.0,2581.0,2665.0,2735.0,2861.0,2949.0,3016.0,3035.0,3011.0,2918.0,2760.0,2630.0,2499.0,2459.0,2460.0,2500.0,2514.0
394753,64,"Knoxville, TN",Msa,TN,5082.0,4932.0,4769.0,4682.0,4488.0,4455.0,4581.0,4722.0,4913.0,5096.0,5197.0,5242.0,5274.0,5126.0,4858.0,4654.0,4424.0,4372.0,4492.0,4613.0,4779.0,4841.0,4868.0,4855.0,4838.0,4790.0,4596.0,4426.0,4187.0,4046.0,4000.0,3989.0,3988.0
394653,65,"Greenville, SC",Msa,SC,4577.0,4481.0,4275.0,4233.0,4094.0,4099.0,4265.0,4370.0,4491.0,4535.0,4541.0,4499.0,4471.0,4353.0,4149.0,4039.0,3896.0,3943.0,4100.0,4286.0,4581.0,4798.0,5011.0,5109.0,5090.0,4931.0,4667.0,4482.0,4319.0,4279.0,4330.0,4347.0,4306.0
